Tribe...1,Tribe...2,cluster,profile length,Gene ID,function,SP ?,SSP,species,iso,tair
1,f1,c192,43,tair10_AT4G02250.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT4G02250
1,f1,c3523,47,tair10_AT5G24370.1,pectin methylesterase inhibitor,N,NA,tair10,1,AT5G24370
1,f1,c53,41,tair10_AT5G38610.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G38610
1,f1,c53,41,tair10_AT5G46930.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46930
1,f1,c53,41,tair10_AT5G46940.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46940
1,f1,c53,41,tair10_AT5G46950.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46950
1,f1,c53,41,tair10_AT5G46960.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46960
1,f1,c53,41,tair10_AT5G46970.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46970
1,f1,c53,41,tair10_AT5G46980.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46980
1,f1,c53,41,tair10_AT5G46990.1,invertase/pectin methylesterase inhibitor family protein,N,NA,tair10,1,AT5G46990
2,f2,c489,39,tair10_AT1G13620.1,GLV tribe,Y,GLV,tair10,1,AT1G13620
2,f2,c411,42,tair10_AT2G03830.1,GLV tribe,Y,GLV,tair10,1,AT2G03830
2,f2,c489,39,tair10_AT2G04025.1,GLV tribe,Y,GLV,tair10,1,AT2G04025
2,f2,c306,40,tair10_AT3G02240.1,GLV4,Y,GLV,tair10,1,AT3G02240
2,f2,c306,40,tair10_AT3G02242.1,GLV tribe (GLV4),Y,GLV,tair10,1,AT3G02242
2,f2,c410,32,tair10_AT3G30350.1,GLV3,Y,GLV,tair10,1,AT3G30350
2,f2,c306,40,tair10_AT4G16515.1,GLV1,Y,GLV,tair10,1,AT4G16515
2,f2,c410,32,tair10_AT5G15725.1,GLV tribe (GLV3),Y,GLV,tair10,1,AT5G15725
2,f2,c259,37,tair10_AT5G51451.1,GLV tribe,Y,GLV,tair10,1,AT5G51451
2,f2,c489,39,tair10_AT5G60810.1,GLV tribe,Y,GLV,tair10,1,AT5G60810
2,f2,c306,40,tair10_AT5G64770.1,GLV2,Y,GLV,tair10,1,AT5G64770
3,f3,c266,36,tair10_AT1G62935.1,NA,?,NA,tair10,1,AT1G62935
3,f3,c935,35,tair10_AT5G47920.1,NA,?,NA,tair10,1,AT5G47920
4,f4,c8,48,tair10_AT1G52415.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT1G52415
4,f4,c8,48,tair10_AT2G15050.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G15050
4,f4,c8,48,tair10_AT2G15325.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G15325
4,f4,c8,48,tair10_AT2G18370.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G18370
4,f4,c69,45,tair10_AT2G37870.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G37870
4,f4,c8,48,tair10_AT2G38530.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G38530
4,f4,c8,48,tair10_AT2G38540.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT2G38540
4,f4,c8,48,tair10_AT3G08770.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT3G08770
4,f4,c8,48,tair10_AT3G51590.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT3G51590
4,f4,c8,48,tair10_AT3G51600.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT3G51600
4,f4,c69,45,tair10_AT3G53980.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT3G53980
4,f4,c8,48,tair10_AT4G33355.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT4G33355
4,f4,c8,48,tair10_AT5G01870.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G01870
4,f4,c69,45,tair10_AT5G05960.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G05960
4,f4,c8,48,tair10_AT5G44265.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G44265
4,f4,c69,45,tair10_AT5G48485.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G48485
4,f4,c69,45,tair10_AT5G48490.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G48490
4,f4,c8,48,tair10_AT5G59310.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G59310
4,f4,c8,48,tair10_AT5G59320.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G59320
4,f4,c8,48,tair10_AT5G62065.1,"protease inhibitor, seed storage, lipid transfer proteins",N,NA,tair10,1,AT5G62065
5,f5,c7,13,tair10_AT1G05065.1,CLE20,Y,CLE,tair10,1,AT1G05065
5,f5,c49,14,tair10_AT1G06225.1,CLE03,Y,CLE,tair10,1,AT1G06225
5,f5,c7,13,tair10_AT1G25425.1,CLE43,Y,CLE,tair10,1,AT1G25425
5,f5,c7,13,tair10_AT1G26600.1,CLE09,Y,CLE,tair10,1,AT1G26600
5,f5,c7,13,tair10_AT1G49005.1,CLE11,Y,CLE,tair10,1,AT1G49005
5,f5,c7,13,tair10_AT1G63245.1,CLE14,Y,CLE,tair10,1,AT1G63245
5,f5,c196,17,tair10_AT1G67775.1,CLE08,Y,CLE,tair10,1,AT1G67775
5,f5,c7,13,tair10_AT1G68795.1,CLE12,Y,CLE,tair10,1,AT1G68795
5,f5,c7,13,tair10_AT1G69320.1,CLE10,Y,CLE,tair10,1,AT1G69320
5,f5,c210,33,tair10_AT1G69588.1,CLE45,Y,CLE,tair10,1,AT1G69588
5,f5,c7,13,tair10_AT1G69970.1,CLE26,Y,CLE,tair10,1,AT1G69970
5,f5,c7,13,tair10_AT1G70895.1,NA,NA,CLE,tair10,1,AT1G70895
5,f5,c49,14,tair10_AT1G73165.1,CLE01,Y,CLE,tair10,1,AT1G73165
5,f5,c7,13,tair10_AT1G73965.1,CLE13,Y,CLE,tair10,1,AT1G73965
5,f5,c49,14,tair10_AT2G31081.1,CLE04,Y,CLE,tair10,1,AT2G31081
5,f5,c49,14,tair10_AT2G31082.1,CLE07,Y,CLE,tair10,1,AT2G31082
5,f5,c49,14,tair10_AT2G31083.1,CLE05,Y,CLE,tair10,1,AT2G31083
5,f5,c49,14,tair10_AT2G31085.1,CLE06,Y,CLE,tair10,1,AT2G31085
5,f5,c7,13,tair10_AT3G24225.1,CLE19,Y,CLE,tair10,1,AT3G24225
5,f5,c7,13,tair10_AT3G25905.1,CLE27,Y,CLE,tair10,1,AT3G25905
5,f5,c7,13,tair10_AT3G28455.1,CLE25,Y,CLE,tair10,1,AT3G28455
5,f5,c49,14,tair10_AT4G18510.1,CLE02,Y,CLE,tair10,1,AT4G18510
5,f5,c7,13,tair10_AT5G12235.1,CLE22,Y,CLE,tair10,1,AT5G12235
5,f5,c7,13,tair10_AT5G12990.1,CLE40,Y,CLE,tair10,1,AT5G12990
5,f5,c7,13,tair10_AT5G64800.1,CLE21,Y,CLE,tair10,1,AT5G64800
6,f6,c256,21,tair10_AT1G56233.1,defensin-like; cysteine-rich,? in both,NA,tair10,1,AT1G56233
6,f6,c256,21,tair10_AT2G25295.1,defensin-like,? in both,NA,tair10,1,AT2G25295
6,f6,c337,25,tair10_AT4G13955.1,defensin-like/beta-gal/LCR,? in both,NA,tair10,1,AT4G13955
6,f6,c337,25,tair10_AT4G13968.1,NA,NA,NA,tair10,1,AT4G13968
6,f6,c256,21,tair10_AT4G39917.1,LCR,? in both,NA,tair10,1,AT4G39917
6,f6,c256,21,tair10_AT5G32619.1,defensin-like,? in both,NA,tair10,1,AT5G32619
6,f6,c256,21,tair10_AT5G48945.1,LCR,? in both,NA,tair10,1,AT5G48945
6,f6,c337,25,tair10_AT5G48953.1,LCR,? in both,NA,tair10,1,AT5G48953
6,f6,c256,21,tair10_AT5G55131.1,defensin-like,? in both,NA,tair10,1,AT5G55131
6,f6,c256,21,tair10_AT5G55132.1,defensin-like,? in both,NA,tair10,1,AT5G55132
7,f7,c112,27,tair10_AT1G68765.1,IDA,Y,IDA/IDL,tair10,1,AT1G68765
7,f7,c112,27,tair10_AT1G76952.1,IDL5,Y,IDA/IDL,tair10,1,AT1G76952
7,f7,c112,27,tair10_AT3G18715.1,IDL4,Y,IDA/IDL,tair10,1,AT3G18715
7,f7,c112,27,tair10_AT3G25655.1,IDL1,Y,IDA/IDL,tair10,1,AT3G25655
7,f7,c1027,39,tair10_AT4G18335.1,IDA tribe,Y,IDA/IDL,tair10,1,AT4G18335
7,f7,c112,27,tair10_AT5G09805.1,IDL3,Y,IDA/IDL,tair10,1,AT5G09805
7,f7,c112,27,tair10_AT5G64667.1,IDL2,Y,IDA/IDL,tair10,1,AT5G64667
8,f8,c134,25,tair10_AT5G43150.1,NA,NA,NA,tair10,1,AT5G43150
9,f9,c213,30,tair10_AT2G34925.1,CLE42,Y,CLE,tair10,1,AT2G34925
9,f9,c213,30,tair10_AT3G24770.1,CLE41,Y,CLE,tair10,1,AT3G24770
9,f9,c213,30,tair10_AT4G13195.1,CLE44,Y,CLE,tair10,1,AT4G13195
9,f9,c1238,49,tair10_AT5G59305.1,CLE46,Y,CLE,tair10,1,AT5G59305
10,f10,c269,47,tair10_AT2G48130.1,glucanase/LTP/protease inhibitor,N,NA,tair10,1,AT2G48130
10,f10,c269,47,tair10_AT3G22600.1,"protease inhibitor, seed storage, lipid transfer proteins",? in both,NA,tair10,1,AT3G22600
10,f10,c269,47,tair10_AT4G14815.1,"protease inhibitor, seed storage, lipid transfer proteins",? in both,NA,tair10,1,AT4G14815
11,f11,c70,38,tair10_AT1G55330.1,arabinogalactan,?,NA,tair10,1,AT1G55330
11,f11,c156,46,tair10_AT2G41905.1,arabinogalactan/plastocyanin/LTPâ€¦,?,NA,tair10,1,AT2G41905
11,f11,c70,38,tair10_AT3G13520.1,arabinogalactan,?,NA,tair10,1,AT3G13520
11,f11,c156,46,tair10_AT3G20865.1,arabinogalactan/plastocyanin/LTPâ€¦,?,NA,tair10,1,AT3G20865
11,f11,c156,46,tair10_AT3G57690.1,arabinogalactan/plastocyanin/LTPâ€¦,?,NA,tair10,1,AT3G57690
11,f11,c70,38,tair10_AT4G26320.1,arabinogalactan,?,NA,tair10,1,AT4G26320
11,f11,c70,38,tair10_AT5G11740.1,arabinogalactan,?,NA,tair10,1,AT5G11740
11,f11,c70,38,tair10_AT5G56540.1,arabinogalactan,?,NA,tair10,1,AT5G56540
12,f12,c71,26,tair10_AT1G09245.1,SI S1,? in both,NA,tair10,1,AT1G09245
12,f12,c71,26,tair10_AT1G11765.1,SI S1,? in both,NA,tair10,1,AT1G11765
12,f12,c71,26,tair10_AT1G28305.1,SI S1,? in both,NA,tair10,1,AT1G28305
12,f12,c71,26,tair10_AT1G28306.1,SI S1,? in both,NA,tair10,1,AT1G28306
12,f12,c71,26,tair10_AT1G51250.1,SI S1,? in both,NA,tair10,1,AT1G51250
12,f12,c71,26,tair10_AT2G04115.1,NA,NA,NA,tair10,1,AT2G04115
12,f12,c71,26,tair10_AT2G06090.1,SI S1,? in both,NA,tair10,1,AT2G06090
12,f12,c71,26,tair10_AT2G23142.1,SI S1,? in both,NA,tair10,1,AT2G23142
12,f12,c71,26,tair10_AT2G23148.1,SI S1,? in both,NA,tair10,1,AT2G23148
12,f12,c71,26,tair10_AT3G10460.1,SI S1,? in both,NA,tair10,1,AT3G10460
12,f12,c71,26,tair10_AT3G24060.1,SI S1,? in both,NA,tair10,1,AT3G24060
12,f12,c71,26,tair10_AT3G26860.1,SI S1,? in both,NA,tair10,1,AT3G26860
12,f12,c71,26,tair10_AT3G26870.1,SI S1,? in both,NA,tair10,1,AT3G26870
12,f12,c71,26,tair10_AT3G26880.1,SI S1,? in both,NA,tair10,1,AT3G26880
12,f12,c71,26,tair10_AT3G27680.1,SI S1,? in both,NA,tair10,1,AT3G27680
12,f12,c4025,32,tair10_AT3G44170.1,SI S1,? in both,NA,tair10,1,AT3G44170
12,f12,c71,26,tair10_AT4G10895.1,SI S1,? in both,NA,tair10,1,AT4G10895
12,f12,c329,25,tair10_AT4G16295.1,SI S1,? in both,NA,tair10,1,AT4G16295
12,f12,c329,25,tair10_AT4G29035.1,SI S1,? in both,NA,tair10,1,AT4G29035
12,f12,c71,26,tair10_AT5G04047.1,SI S1,? in both,NA,tair10,1,AT5G04047
12,f12,c71,26,tair10_AT5G04347.1,SI S1,? in both,NA,tair10,1,AT5G04347
12,f12,c71,26,tair10_AT5G04350.1,SI S1,? in both,NA,tair10,1,AT5G04350
12,f12,c329,25,tair10_AT5G11820.1,SI S1,? in both,NA,tair10,1,AT5G11820
12,f12,c329,25,tair10_AT5G26050.1,SI S1,? in both,NA,tair10,1,AT5G26050
12,f12,c329,25,tair10_AT5G26060.1,SI S1,? in both,NA,tair10,1,AT5G26060
12,f12,c4025,32,tair10_AT5G26100.1,SI S1,? in both,NA,tair10,1,AT5G26100
12,f12,c71,26,tair10_AT5G27238.1,SI S1,? in both,NA,tair10,1,AT5G27238
12,f12,c71,26,tair10_AT5G38435.1,SI S1,? in both,NA,tair10,1,AT5G38435
12,f12,c71,26,tair10_AT5G38440.1,SI S1,? in both,NA,tair10,1,AT5G38440
12,f12,c71,26,tair10_AT5G39493.1,NA,NA,NA,tair10,1,AT5G39493
13,f13,c1037,44,tair10_AT1G33265.1,NA,?,NA,tair10,1,AT1G33265
13,f13,c663,48,tair10_AT1G50740.1,NA,NA,NA,tair10,1,AT1G50740
14,f14,c105,36,tair10_AT1G33607.1,defensin-like,? in both,NA,tair10,1,AT1G33607
14,f14,c105,36,tair10_AT1G64195.1,defensin-like,? in both,NA,tair10,1,AT1G64195
14,f14,c105,36,tair10_AT1G69818.1,defensin-like,? in both,NA,tair10,1,AT1G69818
14,f14,c105,36,tair10_AT1G69825.1,defensin-like,? in both,NA,tair10,1,AT1G69825
14,f14,c223,44,tair10_AT4G08485.1,defensin-like,? in both,NA,tair10,1,AT4G08485
14,f14,c223,44,tair10_AT4G08869.1,defensin-like,? in both,NA,tair10,1,AT4G08869
14,f14,c223,44,tair10_AT4G08875.1,defensin-like,? in both,NA,tair10,1,AT4G08875
14,f14,c105,36,tair10_AT4G14272.1,defensin-like,? in both,NA,tair10,1,AT4G14272
14,f14,c105,36,tair10_AT4G14276.1,defensin-like,? in both,NA,tair10,1,AT4G14276
14,f14,c105,36,tair10_AT4G18823.1,defensin-like,? in both,NA,tair10,1,AT4G18823
14,f14,c105,36,tair10_AT5G08055.1,defensin-like,? in both,NA,tair10,1,AT5G08055
14,f14,c105,36,tair10_AT5G08315.1,defensin-like,? in both,NA,tair10,1,AT5G08315
14,f14,c105,36,tair10_AT5G16453.1,defensin-like,? in both,NA,tair10,1,AT5G16453
14,f14,c223,44,tair10_AT5G18403.1,defensin-like,? in both,NA,tair10,1,AT5G18403
14,f14,c223,44,tair10_AT5G18407.1,defensin-like,? in both,NA,tair10,1,AT5G18407
14,f14,c105,36,tair10_AT5G19315.1,defensin-like,? in both,NA,tair10,1,AT5G19315
14,f14,c105,36,tair10_AT5G39645.1,NA,NA,NA,tair10,1,AT5G39645
14,f14,c223,44,tair10_AT5G43285.1,defensin-like,? in both,NA,tair10,1,AT5G43285
14,f14,c223,44,tair10_AT5G43513.1,defensin-like,? in both,NA,tair10,1,AT5G43513
14,f14,c223,44,tair10_AT5G43518.1,defensin-like,? in both,NA,tair10,1,AT5G43518
14,f14,c223,44,tair10_AT5G43525.1,defensin-like,? in both,NA,tair10,1,AT5G43525
14,f14,c223,44,tair10_AT5G48515.1,defensin-like,? in both,NA,tair10,1,AT5G48515
14,f14,c223,44,tair10_AT5G48595.1,defensin-like,? in both,NA,tair10,1,AT5G48595
14,f14,c223,44,tair10_AT5G48605.1,defensin-like,? in both,NA,tair10,1,AT5G48605
14,f14,c223,44,tair10_AT5G50423.1,defensin-like,? in both,NA,tair10,1,AT5G50423
14,f14,c105,36,tair10_AT5G52605.1,defensin-like,? in both,NA,tair10,1,AT5G52605
14,f14,c223,44,tair10_AT5G60805.1,NA,NA,NA,tair10,1,AT5G60805
18,f18,c385,34,tair10_AT1G09812.1,NA,NA,NA,tair10,1,AT1G09812
18,f18,c385,34,tair10_AT1G58007.1,NA,NA,NA,tair10,1,AT1G58007
18,f18,c121,22,tair10_AT3G30725.1,NA,NA,NA,tair10,1,AT3G30725
18,f18,c121,22,tair10_AT4G25760.1,NA,NA,NA,tair10,1,AT4G25760
18,f18,c121,22,tair10_AT5G24920.1,NA,NA,NA,tair10,1,AT5G24920
18,f18,c121,22,tair10_AT5G38770.1,NA,NA,NA,tair10,1,AT5G38770
18,f18,c121,22,tair10_AT5G57685.1,NA,NA,NA,tair10,1,AT5G57685
18,f18,c385,34,tair10_AT5G65660.1,NA,NA,NA,tair10,1,AT5G65660
19,f19,c122,40,tair10_AT2G32890.1,NA,NA,RALFL,tair10,1,AT2G32890
19,f19,c122,40,tair10_AT3G29000.1,calcium-binding EF hand family protein,N,NA,tair10,1,AT3G29000
19,f19,c122,40,tair10_AT3G47480.1,calcium-binding EF hand family protein,N,NA,tair10,1,AT3G47480
19,f19,c122,40,tair10_AT3G59440.1,calcium-binding EF hand family protein,N,NA,tair10,1,AT3G59440
20,f20,c124,38,tair10_AT1G71950.1,subtilase,N,NA,tair10,1,AT1G71950
20,f20,c124,38,tair10_AT2G39851.1,subtilase,N,NA,tair10,1,AT2G39851
21,f21,c1257,40,tair10_AT1G35430.1,NA,?,NA,tair10,1,AT1G35430
21,f21,c1257,40,tair10_AT4G09170.1,NA,?,NA,tair10,1,AT4G09170
23,f23,c94,38,tair10_AT2G18660.1,PNP-A,Y,PNP,tair10,1,AT2G18660
23,f23,c94,38,tair10_AT4G30380.1,PNP-B?,Y,NA,tair10,1,AT4G30380
25,f25,c6,42,tair10_AT1G22900.1,disease resistance-responsive family,N,NA,tair10,1,AT1G22900
25,f25,c6,42,tair10_AT1G55210.1,disease resistance-responsive family,N,NA,tair10,1,AT1G55210
25,f25,c6,42,tair10_AT1G58170.1,disease resistance-responsive family,N,NA,tair10,1,AT1G58170
25,f25,c6,42,tair10_AT1G64160.1,disease resistance-responsive family,N,NA,tair10,1,AT1G64160
25,f25,c6,42,tair10_AT1G65870.1,disease resistance-responsive family,N,NA,tair10,1,AT1G65870
25,f25,c6,42,tair10_AT2G10930.1,NA,NA,NA,tair10,1,AT2G10930
25,f25,c6,42,tair10_AT2G21100.1,disease resistance-responsive family,N,NA,tair10,1,AT2G21100
25,f25,c6,42,tair10_AT2G21110.1,disease resistance-responsive family,N,NA,tair10,1,AT2G21110
25,f25,c6,42,tair10_AT3G13650.1,disease resistance-responsive family,N,NA,tair10,1,AT3G13650
25,f25,c6,42,tair10_AT3G13662.1,disease resistance-responsive family,N,NA,tair10,1,AT3G13662
25,f25,c6,42,tair10_AT4G11180.1,disease resistance-responsive family,N,NA,tair10,1,AT4G11180
25,f25,c6,42,tair10_AT4G11190.1,disease resistance-responsive family,N,NA,tair10,1,AT4G11190
25,f25,c6,42,tair10_AT4G11210.1,disease resistance-responsive family,N,NA,tair10,1,AT4G11210
25,f25,c6,42,tair10_AT4G23690.1,disease resistance-responsive family,N,NA,tair10,1,AT4G23690
25,f25,c6,42,tair10_AT4G38700.1,disease resistance-responsive family,N,NA,tair10,1,AT4G38700
25,f25,c6,42,tair10_AT5G42500.1,disease resistance-responsive family,N,NA,tair10,1,AT5G42500
25,f25,c6,42,tair10_AT5G42510.1,disease resistance-responsive family,N,NA,tair10,1,AT5G42510
25,f25,c6,42,tair10_AT5G49040.1,disease resistance-responsive family,N,NA,tair10,1,AT5G49040
26,f26,c132,44,tair10_AT3G15360.1,NA,NA,NA,tair10,1,AT3G15360
27,f27,c40,49,tair10_AT2G14378.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G14378
27,f27,c133,40,tair10_AT2G22145.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G22145
27,f27,c133,40,tair10_AT2G22155.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G22155
27,f27,c40,49,tair10_AT2G24205.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G24205
27,f27,c133,40,tair10_AT2G25312.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G25312
27,f27,c40,49,tair10_AT2G27315.1,ECA1 gametogenesis related,?,NA,tair10,1,AT2G27315
27,f27,c133,40,tair10_AT3G01322.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01322
27,f27,c133,40,tair10_AT3G01323.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01323
27,f27,c133,40,tair10_AT3G01324.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01324
27,f27,c133,40,tair10_AT3G01325.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01325
27,f27,c133,40,tair10_AT3G01326.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01326
27,f27,c133,40,tair10_AT3G01327.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01327
27,f27,c133,40,tair10_AT3G01328.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01328
27,f27,c133,40,tair10_AT3G01329.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01329
27,f27,c133,40,tair10_AT3G01331.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G01331
27,f27,c40,49,tair10_AT3G03272.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G03272
27,f27,c133,40,tair10_AT3G27425.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G27425
27,f27,c40,49,tair10_AT3G42565.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G42565
27,f27,c133,40,tair10_AT3G44428.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G44428
27,f27,c133,40,tair10_AT3G45243.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45243
27,f27,c133,40,tair10_AT3G45245.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45245
27,f27,c133,40,tair10_AT3G45248.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45248
27,f27,c133,40,tair10_AT3G45252.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45252
27,f27,c133,40,tair10_AT3G45275.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45275
27,f27,c133,40,tair10_AT3G45285.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G45285
27,f27,c40,49,tair10_AT3G48675.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G48675
27,f27,c40,49,tair10_AT3G50570.1,ECA1 gametogenesis related,?,NA,tair10,1,AT3G50570
27,f27,c40,49,tair10_AT4G09545.1,ECA1 gametogenesis related,?,NA,tair10,1,AT4G09545
27,f27,c40,49,tair10_AT4G35165.1,ECA1 gametogenesis related,?,NA,tair10,1,AT4G35165
27,f27,c133,40,tair10_AT5G14995.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G14995
27,f27,c40,49,tair10_AT5G15000.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G15000
27,f27,c40,49,tair10_AT5G17340.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G17340
27,f27,c40,49,tair10_AT5G36310.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36310
27,f27,c40,49,tair10_AT5G36320.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36320
27,f27,c40,49,tair10_AT5G36330.1,NA,NA,NA,tair10,1,AT5G36330
27,f27,c40,49,tair10_AT5G36340.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36340
27,f27,c40,49,tair10_AT5G36350.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36350
27,f27,c40,49,tair10_AT5G36360.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36360
27,f27,c40,49,tair10_AT5G36370.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36370
27,f27,c40,49,tair10_AT5G36380.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36380
27,f27,c40,49,tair10_AT5G36390.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36390
27,f27,c40,49,tair10_AT5G36400.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36400
27,f27,c40,49,tair10_AT5G36410.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36410
27,f27,c40,49,tair10_AT5G36420.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36420
27,f27,c40,49,tair10_AT5G36430.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36430
27,f27,c40,49,tair10_AT5G36440.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36440
27,f27,c40,49,tair10_AT5G36450.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36450
27,f27,c40,49,tair10_AT5G36460.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36460
27,f27,c40,49,tair10_AT5G36470.1,ECA1 gametogenesis related,?,NA,tair10,1,AT5G36470
