Tribe,Tribe,cluster,profile length,Gene ID,function,SP ?,SSP
2,f2,c411,42,TIGR6.1_LOC_Os04g40640.1,,,
2,f2,c259,37,TIGR6.1_LOC_Os04g46850.1,,,
2,f2,c306,40,TIGR6.1_LOC_Os04g55100.1,,,
2,f2,c259,37,TIGR6.1_LOC_Os08g05950.1,,,
2,f2,c419,36,TIGR6.1_LOC_Os08g07070.1,,,
2,f2,c410,32,TIGR6.1_LOC_Os09g29870.1,,,
3,f3,c123,28,maize_GRMZM2G002465_P01,,,
3,f3,c266,36,maize_GRMZM2G081090_P01,,,
3,f3,c266,36,maize_GRMZM2G145158_P01,,,
3,f3,c123,28,maize_GRMZM2G333042_P01,,,
3,f3,c266,36,POPTR_0003s11620.1,,,
3,f3,c123,28,POPTR_0006s25300.1,,,
3,f3,c123,28,POPTR_0006s28830.1,,,
3,f3,c123,28,POPTR_0006s28870.1,,,
3,f3,c123,28,POPTR_0010s00650.1,,,
3,f3,c266,36,POPTR_0012s10350.1,,,
3,f3,c266,36,POPTR_0012s14360.1,,,
3,f3,c123,28,RAP2_Os01t0133200-01,,,
3,f3,c266,36,RAP2_Os01t0924200-01,,,
3,f3,c266,36,RAP2_Os01t0924200-02,,,
3,f3,c123,28,RAP2_Os02t0517700-01,,,
3,f3,c123,28,RAP2_Os02t0517700-02,,,
3,f3,c123,28,RAP2_Os02t0581200-01,,,
3,f3,c266,36,RAP2_Os03t0248500-01,,,
3,f3,c123,28,RAP2_Os04t0387000-00,,,
3,f3,c123,28,RAP2_Os04t0665666-01,,,
3,f3,c3546,50,RAP2_Os05t0142000-01,,,
3,f3,c266,36,RAP2_Os08t0336200-01,,,
3,f3,c123,28,RAP2_Os08t0402500-01,,,
3,f3,c123,28,RAP2_Os08t0448100-01,,,
3,f3,c935,35,RAP2_Os08t0539200-01,,,
3,f3,c123,28,RAP2_Os09t0279200-01,,,
3,f3,c266,36,tair10_AT1G62935.1,,?,
3,f3,c935,35,tair10_AT5G47920.1,,?,
3,f3,c123,28,TIGR6.1_LOC_Os01g04170.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os01g50890.1,,,
3,f3,c266,36,TIGR6.1_LOC_Os01g69960.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os02g31840.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os02g37070.1,,,
3,f3,c266,36,TIGR6.1_LOC_Os03g14440.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os04g31760.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os04g56995.1,,,
3,f3,c3546,50,TIGR6.1_LOC_Os05g05020.1,,,
3,f3,c123,28,TIGR6.1_LOC_Os08g34800.1,,,
3,f3,c935,35,TIGR6.1_LOC_Os08g42630.1,,,
3,f3,c935,35,TIGR6.1_LOC_Os09g33640.1,,,
3,f3,c266,36,vitis_VV00G61075,,,
3,f3,c935,35,vitis_VV01G12980,,,
3,f3,c123,28,vitis_VV07G04720,,,
4,f4,c8,48,maize_GRMZM2G010868_P01,,,
4,f4,c8,48,maize_GRMZM2G010868_P02,,,
4,f4,c8,48,maize_GRMZM2G025026_P01,,,
4,f4,c8,48,maize_GRMZM2G025026_P02,,,
4,f4,c69,45,maize_GRMZM2G031102_P01,,,
4,f4,c69,45,maize_GRMZM2G065557_P01,,,
4,f4,c69,45,maize_GRMZM2G065557_P02,,,
4,f4,c8,48,maize_GRMZM2G096234_P01,,,
4,f4,c69,45,maize_GRMZM2G099867_P01,,,
4,f4,c8,48,maize_GRMZM2G101958_P01,,,
4,f4,c8,48,maize_GRMZM2G107839_P01,,,
4,f4,c8,48,maize_GRMZM2G107839_P02,,,
4,f4,c8,48,maize_GRMZM2G126397_P01,,,
4,f4,c69,45,maize_GRMZM2G136364_P01,,,
4,f4,c69,45,maize_GRMZM2G136364_P02,,,
4,f4,c8,48,maize_GRMZM2G439268_P01,,,
4,f4,c69,45,maize_GRMZM5G897816_P01,,,
4,f4,c8,48,maize_GRMZM5G898755_P01,,,
4,f4,c8,48,maize_GRMZM5G898755_P02,,,
4,f4,c1701,46,POPTR_0001s23850.3,,,
4,f4,c8,48,POPTR_0001s23920.1,,,
4,f4,c8,48,POPTR_0001s23940.1,,,
4,f4,c8,48,POPTR_0002s01350.1,,,
4,f4,c69,45,POPTR_0002s25240.1,,,
4,f4,c69,45,POPTR_0002s25240.2,,,
4,f4,c8,48,POPTR_0004s08500.1,,,
4,f4,c8,48,POPTR_0006s10860.1,,,
4,f4,c8,48,POPTR_0007s01070.1,,,
4,f4,c69,45,POPTR_0008s06210.1,,,
4,f4,c69,45,POPTR_0008s14060.1,,,
4,f4,c8,48,POPTR_0009s03020.1,,,
4,f4,c69,45,POPTR_0010s11080.1,,,
4,f4,c69,45,POPTR_0010s20360.1,,,
4,f4,c8,48,POPTR_0011s00850.1,,,
4,f4,c8,48,POPTR_0011s00860.1,,,
4,f4,c8,48,POPTR_0011s00880.1,,,
4,f4,c8,48,POPTR_0012s13360.1,,,
4,f4,c8,48,POPTR_0014s04590.1,,,
4,f4,c8,48,POPTR_0014s09360.1,,,
4,f4,c69,45,POPTR_0016s10140.1,,,
4,f4,c8,48,POPTR_0016s14270.1,,,
4,f4,c8,48,POPTR_0016s14280.1,,,
4,f4,c8,48,POPTR_0016s14300.1,,,
4,f4,c8,48,POPTR_0017s04490.1,,,
4,f4,c8,48,RAP2_Os01t0219500-01,,,
4,f4,c8,48,RAP2_Os01t0822900-01,,,
4,f4,c8,48,RAP2_Os01t0822900-02,,,
4,f4,c8,48,RAP2_Os01t0822900-03,,,
4,f4,c69,45,RAP2_Os01t0849000-01,,,
4,f4,c69,45,RAP2_Os01t0849000-02,,,
4,f4,c1701,46,RAP2_Os03t0385100-00,,,
4,f4,c8,48,RAP2_Os03t0808500-00,,,
4,f4,c69,45,RAP2_Os04t0415800-00,,,
4,f4,c69,45,RAP2_Os04t0415900-00,,,
4,f4,c69,45,RAP2_Os05t0160300-01,,,
4,f4,c8,48,RAP2_Os06t0539500-00,,,
4,f4,c8,48,RAP2_Os08t0131200-01,,,
4,f4,c8,48,RAP2_Os11t0114900-01,,,
4,f4,c8,48,RAP2_Os11t0115100-01,,,
4,f4,c8,48,RAP2_Os11t0115350-01,,,
4,f4,c8,48,RAP2_Os11t0115400-00,,,
4,f4,c8,48,RAP2_Os11t0116000-01,,,
4,f4,c8,48,RAP2_Os11t0116200-01,,,
4,f4,c8,48,RAP2_Os11t0116200-02,,,
4,f4,c8,48,RAP2_Os11t0427800-01,,,
4,f4,c8,48,RAP2_Os12t0114500-01,,,
4,f4,c8,48,RAP2_Os12t0114800-01,,,
4,f4,c8,48,RAP2_Os12t0115000-00,,,
4,f4,c8,48,RAP2_Os12t0115100-00,,,
4,f4,c8,48,RAP2_Os12t0115300-01,,,
4,f4,c8,48,RAP2_Os12t0115500-01,,,
4,f4,c8,48,tair10_AT1G52415.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c924,32,tair10_AT2G13820.2,,,
4,f4,c8,48,tair10_AT2G15050.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT2G15050.2,,,
4,f4,c8,48,tair10_AT2G15050.3,,,
4,f4,c8,48,tair10_AT2G15325.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT2G18370.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT2G37870.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT2G38530.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT2G38540.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT3G08770.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT3G08770.2,,,
4,f4,c8,48,tair10_AT3G51590.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT3G51600.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT3G53980.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT3G53980.2,,,
4,f4,c8,48,tair10_AT4G33355.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT4G33355.2,,,
4,f4,c8,48,tair10_AT5G01870.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT5G05960.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c924,32,tair10_AT5G09370.2,,,
4,f4,c8,48,tair10_AT5G44265.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT5G48485.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c69,45,tair10_AT5G48490.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT5G59310.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT5G59320.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,tair10_AT5G62065.1,"protease inhibitor, seed storage, lipid transfer proteins",N,
4,f4,c8,48,TIGR6.1_LOC_Os01g12020.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os01g60740.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os01g60740.2,,,
4,f4,c69,45,TIGR6.1_LOC_Os01g62980.1,,,
4,f4,c69,45,TIGR6.1_LOC_Os01g62980.2,,,
4,f4,c924,32,TIGR6.1_LOC_Os03g09230.2,,,
4,f4,c1701,46,TIGR6.1_LOC_Os03g26800.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os03g59380.1,,,
4,f4,c69,45,TIGR6.1_LOC_Os04g33920.1,,,
4,f4,c69,45,TIGR6.1_LOC_Os04g33930.1,,,
4,f4,c69,45,TIGR6.1_LOC_Os04g33930.2,,,
4,f4,c69,45,TIGR6.1_LOC_Os05g06780.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os05g40010.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os06g06340.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os06g34840.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os08g03690.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02330.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02330.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02350.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02369.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02389.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02400.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02400.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g02424.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os11g24070.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02290.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02300.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02310.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02310.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02320.1,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02320.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02330.2,,,
4,f4,c8,48,TIGR6.1_LOC_Os12g02340.1,,,
4,f4,c8,48,vitis_VV00G23570,,,
4,f4,c8,48,vitis_VV00G51195,,,
4,f4,c69,45,vitis_VV00G51640,,,
4,f4,c8,48,vitis_VV00G61785,,,
4,f4,c924,32,vitis_VV05G05810,,,
4,f4,c924,32,vitis_VV05G05820,,,
4,f4,c8,48,vitis_VV08G05590,,,
4,f4,c8,48,vitis_VV08G05620,,,
4,f4,c69,45,vitis_VV08G10550,,,
4,f4,c8,48,vitis_VV12G01180,,,
4,f4,c8,48,vitis_VV13G02090,,,
4,f4,c69,45,vitis_VV13G04930,,,
4,f4,c8,48,vitis_VV14G16050,,,
5,f5,c49,14,maize_AC187896.3_FGP006,,,
5,f5,c7,13,maize_AC190498.1_FGP007,,,
5,f5,c196,17,maize_AC191109.3_FGP001,,,
5,f5,c49,14,maize_AC198414.2_FGP001,,,
5,f5,c49,14,maize_AC199043.2_FGP002,,,
5,f5,c49,14,maize_AC203381.3_FGP006,,,
5,f5,c7,13,maize_AC206319.2_FGP004,,,
5,f5,c49,14,maize_AC210731.3_FGP002,,,
5,f5,c49,14,maize_AC212347.3_FGP002,,,
5,f5,c7,13,maize_AC233959.1_FGP003,,,
5,f5,c7,13,maize_GRMZM2G005818_P01,,,
5,f5,c210,33,maize_GRMZM2G008651_P01,,,
5,f5,c49,14,maize_GRMZM2G023811_P01,,,
5,f5,c49,14,maize_GRMZM2G052776_P01,,,
5,f5,c49,14,maize_GRMZM2G057142_P01,,,
5,f5,c7,13,maize_GRMZM2G070192_P01,,,
5,f5,c7,13,maize_GRMZM2G088358_P01,,,
5,f5,c7,13,maize_GRMZM2G098918_P01,,,
5,f5,c7,13,maize_GRMZM2G102770_P01,,,
5,f5,c7,13,maize_GRMZM2G123818_P01,,,
5,f5,c7,13,maize_GRMZM2G136469_P01,,,
5,f5,c7,13,maize_GRMZM2G152140_P01,,,
5,f5,c196,17,maize_GRMZM2G165836_P01,,,
5,f5,c196,17,maize_GRMZM2G165836_P02,,,
5,f5,c7,13,maize_GRMZM2G308440_P01,,,
5,f5,c196,17,maize_GRMZM2G372364_P01,,,
5,f5,c7,13,maize_GRMZM2G391746_P01,,,
5,f5,c7,13,maize_GRMZM2G409970_P01,,,
5,f5,c210,33,maize_GRMZM2G417255_P01,,,
5,f5,c7,13,maize_GRMZM2G423617_P01,,,
5,f5,c7,13,maize_GRMZM2G427603_P01,,,
5,f5,c210,33,maize_GRMZM2G430411_P01,,,
5,f5,c210,33,maize_GRMZM2G434380_P01,,,
5,f5,c7,13,maize_GRMZM2G468688_P01,,,
5,f5,c7,13,maize_GRMZM2G473147_P01,,,
5,f5,c7,13,maize_GRMZM2G480050_P01,,,
5,f5,c7,13,maize_GRMZM5G818232_P01,,,
5,f5,c7,13,maize_GRMZM5G826174_P01,,,
5,f5,c7,13,maize_GRMZM5G875999_P02,,,
5,f5,c196,17,POPTR_0001s05380.1,,,
5,f5,c7,13,POPTR_0001s09050.1,,,
5,f5,c196,17,POPTR_0001s22520.1,,,
5,f5,c7,13,POPTR_0001s28080.1,,,
5,f5,c49,14,POPTR_0001s38530.1,,,
5,f5,c7,13,POPTR_0002s12330.1,,,
5,f5,c7,13,POPTR_0002s21370.1,,,
5,f5,c7,13,POPTR_0002s21530.1,,,
5,f5,c7,13,POPTR_0003s12410.1,,,
5,f5,c7,13,POPTR_0006s03510.1,,,
5,f5,c210,33,POPTR_0008s08570.1,,,
5,f5,c7,13,POPTR_0008s09310.1,,,
5,f5,c7,13,POPTR_0008s11450.1,,,
5,f5,c7,13,POPTR_0008s11970.1,,,
5,f5,c7,13,POPTR_0008s13000.1,,,
5,f5,c7,13,POPTR_0008s19570.1,,,
5,f5,c7,13,POPTR_0009s07290.1,,,
5,f5,c7,13,POPTR_0010s04900.1,,,
5,f5,c7,13,POPTR_0010s12130.1,,,
5,f5,c210,33,POPTR_0010s12775.1,,,
5,f5,c7,13,POPTR_0010s13470.1,,,
5,f5,c7,13,POPTR_0010s14050.1,,,
5,f5,c49,14,POPTR_0011s07670.1,,,
5,f5,c49,14,POPTR_0011s07680.1,,,
5,f5,c49,14,POPTR_0011s09920.1,,,
5,f5,c49,14,POPTR_0011s09930.1,,,
5,f5,c7,13,POPTR_0012s05620.1,,,
5,f5,c7,13,POPTR_0012s13495.1,,,
5,f5,c7,13,POPTR_0013s02440.1,,,
5,f5,c49,14,POPTR_0013s12340.1,,,
5,f5,c7,13,POPTR_0014s15480.1,,,
5,f5,c7,13,POPTR_0015s13480.1,,,
5,f5,c7,13,POPTR_0015s13490.1,,,
5,f5,c7,13,POPTR_0017s11100.1,,,
5,f5,c49,14,POPTR_0019s12060.1,,,
5,f5,c49,14,POPTR_0019s12070.1,,,
5,f5,c49,14,POPTR_0019s12090.1,,,
5,f5,c49,14,POPTR_0406s00200.1,,,
5,f5,c7,13,RAP2_Os01t0129800-01,,,
5,f5,c7,13,RAP2_Os01t0170900-01,,,
5,f5,c7,13,RAP2_Os01t0509400-01,,,
5,f5,c49,14,RAP2_Os01t0673100-00,,,
5,f5,c49,14,RAP2_Os01t0673400-00,,,
5,f5,c49,14,RAP2_Os01t0754600-00,,,
5,f5,c49,14,RAP2_Os01t0754800-01,,,
5,f5,c7,13,RAP2_Os01t0764200-00,,,
5,f5,c7,13,RAP2_Os02t0150000-00,,,
5,f5,c49,14,RAP2_Os02t0250100-00,,,
5,f5,c7,13,RAP2_Os02t0324400-01,,,
5,f5,c210,33,RAP2_Os02t0576900-00,,,
5,f5,c7,13,RAP2_Os02t0640100-00,,,
5,f5,c7,13,RAP2_Os02t0826300-01,,,
5,f5,c7,13,RAP2_Os03t0111000-01,,,
5,f5,c7,13,RAP2_Os03t0260432-01,,,
5,f5,c7,13,RAP2_Os03t0366100-01,,,
5,f5,c210,33,RAP2_Os03t0378832-00,,,
5,f5,c7,13,RAP2_Os03t0692100-00,,,
5,f5,c210,33,RAP2_Os04t0460050-00,,,
