TAIR Accession,Locus,Gene Type,Description,Other Name(Type),manual_classification,Keywords
Locus:2035706,AT1G55330,protein_coding,Encodes a putative arabinogalactan-protein (AGP21).,AGP21;ARABINOGALACTAN PROTEIN 21;Arabinogalactan protein 21;AtAGP21,AGP,"membrane;plasma membrane;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2154232,AT5G53250,protein_coding,arabinogalactan protein 22;(source:Araport11),AGP22;ARABINOGALACTAN PROTEIN 22;ATAGP22,AGP,"membrane;plasma membrane;molecular_function;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;flower;hypocotyl;inflorescence meristem;leaf apex;plant embryo;pollen;pollen tube cell;root;sepal,"
Locus:2076611,AT3G57690,protein_coding,Encodes a putative arabinogalactan-protein (AGP23).Recruited and transported by FH5 to maintain the tip growth of the pollen tube.,AGP23;ARABINOGALACTAN-PROTEIN 23;ATAGP23;arabinogalactan protein 23,AGP,"biological_process;cell wall;membrane;plasma membrane;pollen tube tip;protein binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2043383,AT2G47930,protein_coding,arabinogalactan protein 26;(source:Araport11),AGP26;ARABIDOPSIS THALIANA ARABINOGALACTAN PROTEIN 26;ARABINOGALACTAN PROTEIN 26;ATAGP26,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2142524,AT5G10430,protein_coding,Encodes arabinogalactan-protein (AGP4) that is expressed in female reproductive tissues. It is involved in promoting degeneration of the persistent synergid after fertilization. In mutant ovules; the persistent synergid does not degrade resulting in polytuby.,AGP4;ARABINOGALACTAN PROTEIN 4;ATAGP4;JAGGER,AGP,"synergid death;membrane;plasma membrane;molecular_function;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;egg apparatus;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;integument;leaf apex;petal;petiole;plant embryo;pollen;portion of transmitting tissue;root;seed;sepal;shoot apex;shoot system;stamen;stem;stigma;vascular leaf,"
Locus:505006358,AT3G20865,protein_coding,Encodes a putative arabinogalactan-protein (AGP40) that is expressed in pollen.,AGP40;arabinogalactan protein 40,AGP,"membrane;plasma membrane;molecular_function;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;guard cell;petal;plant embryo;pollen;pollen tube cell;sepal;stamen;leaf vascular system,"
Locus:2145713,AT5G14380,protein_coding,Encodes an arabinogalactan protein that is expressed in pollen; pollen sac and pollen tube. Loss of AGP6 function results in decreased fertility due to defects in pollen tube growth.,AGP6;arabinogalactan protein 6,AGP,"pollen tube growth;pollen wall assembly;extracellular matrix;membrane;plasma membrane;molecular_function;L mature pollen stage;LP.10 ten leaves visible stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;flower pedicel;inflorescence meristem;petal;plant embryo;pollen;pollen sac;pollen tube cell;sepal;stamen;stem;vascular leaf,"
Locus:2168220,AT5G65390,protein_coding,arabinogalactan protein 7;(source:Araport11),AGP7;ARABINOGALACTAN PROTEIN 7,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:2060475,AT2G14890,protein_coding,putative proline-rich protein (At2g14890) mRNA; complete The mRNA is cell-to-cell mobile.,AGP9;ARABINOGALACTAN PROTEIN 9,AGP,"membrane;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2130305,AT4G16980,protein_coding,arabinogalactan-protein family;(source:Araport11),N/A,AGP,"cellular_component;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2135600,AT4G12550,protein_coding,isolated from differential screening of a cDNA library from auxin-treated root culture. encodes a protein that is related to a large family of proteins that consist of a proline-rich or glycine-rich N-terminus and a hydrophobic; possibly membrane spanning C-terminus.,AIR1;Auxin-Induced in Root cultures 1,AIR,"lateral root morphogenesis;response to auxin;cellular_component;molecular_function;hypocotyl;root,"
Locus:2096920,AT3G45230,protein_coding,Encodes the arabinogalactan protein core of plant cell wall proteoglycan that contains arabinogalactan and cell wall matrix glycan pectin and/or xylan domains.,APAP1;ARABINOXYLAN PECTIN ARABINOGALACTAN PROTEIN 1,APAP,"plant-type cell wall;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:505006095,AT1G02813,protein_coding,DUF538 domain protein ; tandemly repeated with  AT1G02816 (ASD2). Expression is induced by ABA and promoter contains ABA response elements.,ABA-INDUCIBLE SIGNAL PEPTIDE- CONTAINING DUF538 PROTEIN 1;ASD1,ASD,"cellular response to abscisic acid stimulus;negative regulation of gene expression;cytosol;extracellular region;nucleus;plasma membrane;molecular_function;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;cauline leaf;collective leaf structure;flower;seed;sepal,"
Locus:505006096,AT1G02816,protein_coding,DUF538 domain protein ; tandemly repeated with  AT1G02813 (ASD1). Expression is induced by ABA and promoter contains ABA response elements. Mutants show increased sensitivity to ABA.,ABA-INDUCIBLE SIGNAL PEPTIDE- CONTAINING DUF538 PROTEIN 2;ASD2,ASD,"cellular response to abscisic acid stimulus;negative regulation of gene expression;cytosol;extracellular region;nucleus;plant-type vacuole;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2133254,AT4G02360,protein_coding,DUF538 domain protein ; tandemly repeated with  AT4G02370 (ASD4). Expression is induced by ABA and promoter contains ABA response elements. Mutants show decreased sensitivity to ABA.,ABA-INDUCIBLE SIGNAL PEPTIDE- CONTAINING DUF538 PROTEIN 3;ASD3,ASD,"cellular response to abscisic acid stimulus;negative regulation of gene expression;cytosol;extracellular region;nucleus;plasma membrane;molecular_function;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;collective leaf structure;flower;flower pedicel;guard cell;petal;plant embryo;root;seed;sepal;vascular leaf,"
Locus:2133264,AT4G02370,protein_coding,DUF538 domain protein ; tandemly repeated with  AT4G02360 (ASD3). Expression is induced by ABA and promoter contains ABA response elements.,ABA-INDUCIBLE SIGNAL PEPTIDE- CONTAINING DUF538 PROTEIN 4;ASD4,ASD,"cellular response to abscisic acid stimulus;negative regulation of gene expression;chloroplast;cytosol;nucleus;plant-type vacuole;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
Locus:2091196,AT3G19690,protein_coding,"CAP (Cysteine-rich secretory proteins; Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)","CAP38;Cysteine-rich secretory proteins (CRISPS), Antigen 5 (Ag5), and Pathogenesisrelated 1 (PR-1) protein 38",CAP,"sexual reproduction;extracellular space;extracellular region;molecular_function;L mature pollen stage;M germinated pollen stage;pollen;pollen tube cell,"
Locus:2061693,AT2G19970,protein_coding,May function in lateral root development based on expression patterns.,"CAP52;Cysteine-rich secretory proteins (CRISPS), Antigen 5 (Ag5), and Pathogenesisrelated 1 (PR-1) protein 52",CAP,"sexual reproduction;extracellular space;extracellular region;molecular_function;petal differentiation and expansion stage;flower;hypocotyl;lateral root primordium;root,"
Locus:2154835,AT5G66590,protein_coding,"CAP (Cysteine-rich secretory proteins; Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)","CAP61;Cysteine-rich secretory proteins (CRISPS), Antigen 5 (Ag5), and Pathogenesisrelated 1 (PR-1) protein 61",CAP,"sexual reproduction;extracellular space;extracellular region;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;non-hair root epidermal cell;petal;petiole;plant embryo;pollen;primary root apical meristem;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
Locus:2117537,AT4G25780,protein_coding,"CAP (Cysteine-rich secretory proteins; Antigen 5, and Pathogenesis-related 1 protein) superfamily protein;(source:Araport11)",ATCAPE2,CAP,"sexual reproduction;extracellular space;extracellular region;molecular_function;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;petal;plant embryo;pollen;pollen tube cell;sepal;shoot system;stamen;vascular leaf,"
Locus:2139604,AT4G34600,protein_coding,CAF2 is a peptide hormone expressed in the root stele that specifically binds the endodermis-expressed leucine-rich repeat receptor kinase GASSHO1 (GSO1)/SCHENGEN3 and its homolog; GSO2. Together with CAF1 it is required for formation of the casparian band.,CASPARIAN STRIP INTEGRITY FACTOR 2;CIF2,CIF,"pollen tube growth;Casparian strip assembly;regulation of root morphogenesis;Casparian strip;extracellular region;protein binding;LP.04 four leaves visible stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;carpel;cotyledon;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;pollen;pollen tube cell;root;sepal;stamen;vascular leaf,"
Locus:505006577,AT5G01075,protein_coding,Encodes a small ER-localized protein that is strongly expressed in seeds and regulates both embryo development and accumulation of storage compounds. At the cellular level; TWS1 is responsible for cuticle deposition on epidermal cells and organization of the endomembrane system.,TWISTED SEED1;TWS1,CIF,"protein storage vacuole organization;endomembrane system;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;vascular leaf,"
Locus:504955930,AT2G03505,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"extracellular region;molecular_function;guard cell,"
Locus:2014829,AT1G13830,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"plasma membrane;molecular_function;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;petal;root;stamen;stem,"
Locus:2043999,AT2G43660,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function;petal differentiation and expansion stage;flower;hypocotyl;inflorescence meristem;root,"
Locus:1006230336,AT4G16165,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:1009023225,AT2G30933,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"extracellular region;plasma membrane;molecular_function;guard cell,"
Locus:4515103364,AT4G09466,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:4515103362,AT4G09462,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:1009023140,AT1G66855,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:2202945,AT1G78520,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:4515102729,AT1G66852,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:2161972,AT5G63250,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;plasma membrane;molecular_function,"
Locus:2168631,AT5G53610,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:4010713875,AT4G09465,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
Locus:2122338,AT4G09090,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function;plant embryo globular stage;embryo sac central cell;plant embryo,"
Locus:2177256,AT5G35740,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;cellular_component;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;vascular leaf,"
Locus:2045595,AT2G42930,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;cellular_component;molecular_function;guard cell,"
Locus:2161957,AT5G63240,protein_coding,Carbohydrate-binding X8 domain superfamily protein;(source:Araport11),N/A,CX8,"biological_process;extracellular region;molecular_function,"
