Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	TAIR
O23530	reviewed	SNC1_ARATH	Protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 1 (AtSNC1) (Disease resistance RPP5-like protein) (Probable NAD(+) hydrolase SNC1) (EC 3.2.2.6)	SNC1 BAL At4g16890 dl4475c FCAALL.51	Arabidopsis thaliana (Mouse-ear cress)	1437	AT4G16890;
O23661	reviewed	ARFC_ARATH	Auxin response factor 3 (Protein ETTIN)	ARF3 ETT At2g33860 T1B8.30	Arabidopsis thaliana (Mouse-ear cress)	608	AT2G33860;
O24407	reviewed	IAA16_ARATH	Auxin-responsive protein IAA16 (Indoleacetic acid-induced protein 16)	IAA16 At3g04730 F7O18.22	Arabidopsis thaliana (Mouse-ear cress)	236	AT3G04730;
O24408	reviewed	IAA18_ARATH	Auxin-responsive protein IAA18 (Indoleacetic acid-induced protein 18)	IAA18 At1g51950 T14L22.14	Arabidopsis thaliana (Mouse-ear cress)	267	AT1G51950;
O24409	reviewed	IAA19_ARATH	Auxin-responsive protein IAA19 (Indoleacetic acid-induced protein 19) (Protein MASSUGU 2)	IAA19 MSG2 At3g15540 MJK13.20	Arabidopsis thaliana (Mouse-ear cress)	197	AT3G15540;
O24410	reviewed	IAA20_ARATH	Auxin-responsive protein IAA20 (Indoleacetic acid-induced protein 20)	IAA20 At2g46990 F14M4.18	Arabidopsis thaliana (Mouse-ear cress)	175	AT2G46990;
O48847	reviewed	LUH_ARATH	Transcriptional corepressor LEUNIG_HOMOLOG (Protein MUCILAGE-MODIFIED 1)	LUH MUM1 At2g32700 F24L7.16	Arabidopsis thaliana (Mouse-ear cress)	787	AT2G32700;
O49048	reviewed	VPS45_ARATH	Vacuolar protein sorting-associated protein 45 homolog (AtVPS45) (Protein BFA-VISUALIZED ENDOCYTIC TRAFFICKING DEFECTIVE 2)	VPS45 BEN2 At1g77140 T14N5.2	Arabidopsis thaliana (Mouse-ear cress)	569	AT1G77140;
O49484	reviewed	ASK11_ARATH	SKP1-like protein 11 (AtSK11)	ASK11 At4g34210 F10M10.2	Arabidopsis thaliana (Mouse-ear cress)	152	AT4G34210;
O64682	reviewed	PID_ARATH	Protein kinase PINOID (EC 2.7.11.1) (Protein kinase ABRUPTUS)	PID ABR At2g34650 T31E10.1	Arabidopsis thaliana (Mouse-ear cress)	438	AT2G34650;
O64768	reviewed	RAF24_ARATH	RAF-like serine/threonine-protein kinase 24 (EC 2.7.11.1) (Serine/threonine/Tyrosine protein kinase 2)	RAF24 STY2 At2g35050 F19I3.28	Arabidopsis thaliana (Mouse-ear cress)	1257	AT2G35050;
O64903	reviewed	NDK2_ARATH	Nucleoside diphosphate kinase II, chloroplastic (NDK II) (NDP kinase II) (NDPK II) (NDPK Ia) (EC 2.7.4.6)	NDPK2 At5g63310 MDC12.28	Arabidopsis thaliana (Mouse-ear cress)	231	AT5G63310;
O65517	reviewed	SRS2_ARATH	Protein SHI RELATED SEQUENCE 2 (Protein STYLISH 2)	SRS2 STY2 At4g36260 F23E13.150	Arabidopsis thaliana (Mouse-ear cress)	322	AT4G36260;
O80460	reviewed	PCEP3_ARATH	Precursor of CEP3 (PCEP3) [Cleaved into: C-terminally encoded peptide 3 (CEP3)]	CEP3 At2g23440 F26B6.9	Arabidopsis thaliana (Mouse-ear cress)	82	AT2G23440;
O80536	reviewed	PIF3_ARATH	Transcription factor PIF3 (Basic helix-loop-helix protein 8) (AtbHLH8) (bHLH 8) (Phytochrome-associated protein 3) (Phytochrome-interacting factor 3) (Transcription factor EN 100) (bHLH transcription factor bHLH008)	PIF3 BHLH8 EN100 PAP3 At1g09530 F14J9.19	Arabidopsis thaliana (Mouse-ear cress)	524	AT1G09530;
O80642	reviewed	PGTB1_ARATH	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (AtGGT-IB) (GGTase-I-beta)	GGB PGGT1B PGGTI At2g39550 F12L6	Arabidopsis thaliana (Mouse-ear cress)	375	AT2G39550;
O80725	reviewed	AB4B_ARATH	ABC transporter B family member 4 (ABC transporter ABCB.4) (AtABCB4) (Multidrug resistance protein 4) (P-glycoprotein 4)	ABCB4 MDR4 PGP4 At2g47000 F14M4.17	Arabidopsis thaliana (Mouse-ear cress)	1286	AT2G47000;
O82804	reviewed	ELF3_ARATH	Protein EARLY FLOWERING 3 (Nematode-responsive protein)	ELF3 PYK20 At2g25930 F17H15.25 T19L18.26	Arabidopsis thaliana (Mouse-ear cress)	695	AT2G25930;
P13114	reviewed	CHSY_ARATH	Chalcone synthase (EC 2.3.1.74) (Naringenin-chalcone synthase) (Protein TRANSPARENT TESTA 4)	CHS TT4 At5g13930 MAC12.11 MAC12.14	Arabidopsis thaliana (Mouse-ear cress)	395	AT5G13930;
P25070	reviewed	CML24_ARATH	Calcium-binding protein CML24 (Calmodulin-like protein 24) (Touch-induced calmodulin-related protein 2)	CML24 TCH2 At5g37770 K22F20.1	Arabidopsis thaliana (Mouse-ear cress)	161	AT5G37770;
P28185	reviewed	RAA1A_ARATH	Ras-related protein RABA1a (AtRABA1a) (Ras-related protein Ara-2) (Ras-related protein Rab11E) (AtRab11E)	RABA1A ARA-2 RAB11E At1g06400 T2D23.10 T2D23_5	Arabidopsis thaliana (Mouse-ear cress)	216	AT1G06400;
P33077	reviewed	IAA4_ARATH	Auxin-responsive protein IAA4 (Auxin-induced protein AUX2-11) (Indoleacetic acid-induced protein 4)	IAA4 AUX2-11 At5g43700 MQD19.3	Arabidopsis thaliana (Mouse-ear cress)	186	AT5G43700;
P33078	reviewed	IAA5_ARATH	Auxin-responsive protein IAA5 (Auxin-induced protein AUX2-27) (Indoleacetic acid-induced protein 5)	IAA5 AUX2-27 At1g15580 T16N11.9	Arabidopsis thaliana (Mouse-ear cress)	163	AT1G15580;
P36397	reviewed	ARF1_ARATH	ADP-ribosylation factor 1 (AtARF1) (EC 3.6.5.2) (Protein BFA-VISUALIZED EXOCYTIC TRAFFICKING DEFECTIVE 1)	ARF1 ARF1A1C BEX1 At2g47170 T3D7.2 T8I13.1	Arabidopsis thaliana (Mouse-ear cress)	181	AT2G47170;
P38666	reviewed	RL242_ARATH	Large ribosomal subunit protein eL24y (60S ribosomal protein L24-2) (Protein SHORT VALVE 1)	RPL24B STV1 At3g53020 F8J2_190	Arabidopsis thaliana (Mouse-ear cress)	163	AT3G53020;
P41088	reviewed	CFI1_ARATH	Chalcone--flavanone isomerase 1 (Chalcone isomerase 1) (EC 5.5.1.6) (Protein TRANSPARENT TESTA 5)	CHI1 CFI TT5 At3g55120 T15C9_120	Arabidopsis thaliana (Mouse-ear cress)	246	AT3G55120;
P42744	reviewed	AXR1_ARATH	NEDD8-activating enzyme E1 regulatory subunit AXR1 (Auxin-resistance protein AXR1) (Protein AUXIN-RESISTANT 1)	AXR1 At1g05180 YUP8H12.21	Arabidopsis thaliana (Mouse-ear cress)	540	AT1G05180;
P46422	reviewed	GSTF2_ARATH	Glutathione S-transferase F2 (AtGSTF2) (EC 2.5.1.18) (24 kDa auxin-binding protein) (AtPM24) (GST class-phi member 2)	GSTF2 PM24.1 At4g02520 T10P11.18	Arabidopsis thaliana (Mouse-ear cress)	212	AT4G02520;
P46601	reviewed	HAT2_ARATH	Homeobox-leucine zipper protein HAT2 (Homeodomain-leucine zipper protein HAT2) (HD-ZIP protein 2)	HAT2 At5g47370 MQL5.23	Arabidopsis thaliana (Mouse-ear cress)	283	AT5G47370;
P49333	reviewed	ETR1_ARATH	Ethylene receptor 1 (AtETR1) (EC 2.7.13.3) (Protein ETHYLENE RESPONSE 1) (Protein ETR1)	ETR1 At1g66340 T27F4.9	Arabidopsis thaliana (Mouse-ear cress)	738	AT1G66340;
P49677	reviewed	IAA1_ARATH	Auxin-responsive protein IAA1 (Indoleacetic acid-induced protein 1)	IAA1 At4g14560 dl3320w FCAALL.409	Arabidopsis thaliana (Mouse-ear cress)	168	AT4G14560;
P49678	reviewed	IAA2_ARATH	Auxin-responsive protein IAA2 (Indoleacetic acid-induced protein 2)	IAA2 At3g23030 MXC7.6	Arabidopsis thaliana (Mouse-ear cress)	174	AT3G23030;
P53492	reviewed	ACT7_ARATH	Actin-7 (EC 3.6.4.-) (Actin-2)	ACT7 At5g09810 MYH9.2	Arabidopsis thaliana (Mouse-ear cress)	377	AT5G09810;
P55034	reviewed	PSMD4_ARATH	26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)	RPN10 MBP1 MCB1 At4g38630 F20M13.190 T9A14.7	Arabidopsis thaliana (Mouse-ear cress)	386	AT4G38630;
P93022	reviewed	ARFG_ARATH	Auxin response factor 7 (Auxin-responsive protein IAA21/IAA23/IAA25) (Protein BIPOSTO) (Protein MASSUGU 1) (Protein NON-PHOTOTROPIC HYPOCOTYL 4) (Protein TRANSPORT INHIBITOR RESPONSE 5)	ARF7 BIP IAA21 IAA23 IAA25 MSG1 NPH4 TIR5 At5g20730 T1M15.130	Arabidopsis thaliana (Mouse-ear cress)	1164	AT5G20730;
P93024	reviewed	ARFE_ARATH	Auxin response factor 5 (Auxin-responsive protein IAA24) (Transcription factor MONOPTEROS)	ARF5 IAA24 MP At1g19850 F6F9.10	Arabidopsis thaliana (Mouse-ear cress)	902	AT1G19850;
P93830	reviewed	IAA17_ARATH	Auxin-responsive protein IAA17 (Auxin response 3) (Indoleacetic acid-induced protein 17)	IAA17 AXR3 At1g04250 F19P19.31	Arabidopsis thaliana (Mouse-ear cress)	229	AT1G04250;
Q01593	reviewed	ABI3_ARATH	B3 domain-containing transcription factor ABI3 (Protein ABSCISIC ACID-INSENSITIVE 3)	ABI3 At3g24650 MSD24.2	Arabidopsis thaliana (Mouse-ear cress)	720	AT3G24650;
Q05085	reviewed	PTR7_ARATH	Protein NRT1/ PTR FAMILY 6.3 (AtNPF6.3) (Nitrate transporter 1.1) (AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)	NPF6.3 CHL1 NRT1 NRT1.1 At1g12110 F12F1.1 T28K15_13	Arabidopsis thaliana (Mouse-ear cress)	590	AT1G12110;
Q05466	reviewed	HAT4_ARATH	Homeobox-leucine zipper protein HAT4 (HD-ZIP protein ATHB-2) (Homeodomain transcription factor ATHB-2) (Homeodomain-leucine zipper protein HAT4) (HD-ZIP protein 4)	HAT4 ATHB-2 At4g16780 dl4415w FCAALL.101	Arabidopsis thaliana (Mouse-ear cress)	284	AT4G16780;
Q058G9	reviewed	PCEP5_ARATH	Precursor of CEP5 (PCEP5) [Cleaved into: C-terminally encoded peptide 5 (CEP5)]	CEP5 At5g66815 MUD21	Arabidopsis thaliana (Mouse-ear cress)	105	AT5G66815;
Q05999	reviewed	D6KL3_ARATH	Serine/threonine-protein kinase D6PKL3 (EC 2.7.11.1) (D6 protein kinase-like 3) (Serine/threonine-protein kinase AtPK7)	D6PKL3 PK7 At3g27580 MMJ24.14	Arabidopsis thaliana (Mouse-ear cress)	578	AT3G27580;
Q0WL52	reviewed	NPY5_ARATH	Phototropic-responsive NPH3 family protein NPY5 (MAB4/ENP/NPY1-like proten 1) (MAB4/ENP/NPY1-like proten 2) (Protein NAKED PINS IN YUC MUTANTS 5)	NPY5 MEL1 MEL2 At4g37590 F19F18.80	Arabidopsis thaliana (Mouse-ear cress)	580	AT4G37590;
Q0WL81	reviewed	RNL_ARATH	tRNA ligase 1 (AtRLG1) (AtRNL) (AtRlg1p) (EC 6.5.1.3) (Protein AT.I.24-9)	RNL RLG1 At1g07910 T6D22.1	Arabidopsis thaliana (Mouse-ear cress)	1104	AT1G07910;
Q17TI5	reviewed	BRX_ARATH	Protein BREVIS RADIX (AtBRX)	BRX At1g31880 F5M6.11	Arabidopsis thaliana (Mouse-ear cress)	344	AT1G31880;
Q38822	reviewed	IAA3_ARATH	Auxin-responsive protein IAA3 (Indoleacetic acid-induced protein 3) (Short hypocotyl) (Suppressor of HY2)	IAA3 SHY2 At1g04240 F19P19.32	Arabidopsis thaliana (Mouse-ear cress)	189	AT1G04240;
Q38824	reviewed	IAA6_ARATH	Auxin-responsive protein IAA6 (Indoleacetic acid-induced protein 6)	IAA6 SHY1 At1g52830 F14G24.10	Arabidopsis thaliana (Mouse-ear cress)	189	AT1G52830;
Q38825	reviewed	IAA7_ARATH	Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7)	IAA7 AXR2 At3g23050 MXC7.8	Arabidopsis thaliana (Mouse-ear cress)	243	AT3G23050;
Q38826	reviewed	IAA8_ARATH	Auxin-responsive protein IAA8 (Indoleacetic acid-induced protein 8)	IAA8 At2g22670 T9I22.11	Arabidopsis thaliana (Mouse-ear cress)	321	AT2G22670;
Q38827	reviewed	IAA9_ARATH	Auxin-responsive protein IAA9 (Indoleacetic acid-induced protein 9)	IAA9 At5g65670 F6H11.210 MPA24.1	Arabidopsis thaliana (Mouse-ear cress)	338	AT5G65670;
Q38828	reviewed	IAA10_ARATH	Auxin-responsive protein IAA10 (Indoleacetic acid-induced protein 10)	IAA10 At1g04100 F20D22.13	Arabidopsis thaliana (Mouse-ear cress)	261	AT1G04100;
Q38829	reviewed	IAA11_ARATH	Auxin-responsive protein IAA11 (Indoleacetic acid-induced protein 11)	IAA11 At4g28640 T5F17.90	Arabidopsis thaliana (Mouse-ear cress)	246	AT4G28640;
Q38830	reviewed	IAA12_ARATH	Auxin-responsive protein IAA12 (Indoleacetic acid-induced protein 12) (Protein BODENLOS)	IAA12 BDL At1g04550 T1G11.20	Arabidopsis thaliana (Mouse-ear cress)	239	AT1G04550;
Q38831	reviewed	IAA13_ARATH	Auxin-responsive protein IAA13 (Indoleacetic acid-induced protein 13)	IAA13 At2g33310 F4P9.8	Arabidopsis thaliana (Mouse-ear cress)	247	AT2G33310;
Q38832	reviewed	IAA14_ARATH	Auxin-responsive protein IAA14 (Indoleacetic acid-induced protein 14) (Protein SOLITARY ROOT)	IAA14 SLR1 At4g14550 dl3315c FCAALL.254	Arabidopsis thaliana (Mouse-ear cress)	228	AT4G14550;
Q38845	reviewed	2AAA_ARATH	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (AtA alpha) (PP2A, subunit A, alpha isoform) (PR-65 A) (Protein ROOTS CURL IN NAPHTHYLPHTHALAMIC ACID 1) (Protein enhancer of ethylene-response 1)	PP2AA1 EER1 RCN1 REGA At1g25490 F2J7.19	Arabidopsis thaliana (Mouse-ear cress)	588	AT1G25490;
Q38847	reviewed	AGL15_ARATH	Agamous-like MADS-box protein AGL15	AGL15 At5g13790 MXE10.6	Arabidopsis thaliana (Mouse-ear cress)	268	AT5G13790;
Q38857	reviewed	XTH22_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4)	XTH22 TCH4 At5g57560 MUA2.13	Arabidopsis thaliana (Mouse-ear cress)	284	AT5G57560;
Q38862	reviewed	INO2_ARATH	Inositol-3-phosphate synthase isozyme 2 (AtIPS2) (MIP synthase 2) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 2) (AtMIPS 2) (MI-1-P synthase 2)	IPS2 MIPS2 At2g22240 T26C19.10	Arabidopsis thaliana (Mouse-ear cress)	510	AT2G22240;
Q38902	reviewed	RAC1_ARATH	Rac-like GTP-binding protein ARAC1 (GTPase protein ROP3)	ARAC1 ATGP2 ROP3 At2g17800 T17A5.14	Arabidopsis thaliana (Mouse-ear cress)	197	AT2G17800;
Q38912	reviewed	RAC3_ARATH	Rac-like GTP-binding protein ARAC3 (AtRAC1) (GTPase protein ROP6)	ARAC3 RAC1 ROP6 At4g35020 M4E13.80	Arabidopsis thaliana (Mouse-ear cress)	198	AT4G35020;
Q39011	reviewed	KSG7_ARATH	Shaggy-related protein kinase eta (EC 2.7.11.1) (ASK-eta) (Protein BRASSINOSTEROID INSENSITIVE 2) (Protein ULTRACURVATA 1) (Shaggy-related protein kinase 21) (AtSK21)	ASK7 BIN2 DWF12 SK21 UCU1 At4g18710 F28A21.120	Arabidopsis thaliana (Mouse-ear cress)	380	AT4G18710;
Q39021	reviewed	MPK1_ARATH	Mitogen-activated protein kinase 1 (AtMPK1) (MAP kinase 1) (EC 2.7.11.24)	MPK1 At1g10210 F14N23.9	Arabidopsis thaliana (Mouse-ear cress)	370	AT1G10210;
Q39054	reviewed	CNX1_ARATH	Molybdopterin biosynthesis protein CNX1 (Molybdenum cofactor biosynthesis enzyme CNX1) [Includes: Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E); Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G)]	CNX1 At5g20990 F22D1.6 T10F18.20	Arabidopsis thaliana (Mouse-ear cress)	670	AT5G20990;
Q39088	reviewed	DOF34_ARATH	Dof zinc finger protein DOF3.4 (AtDOF3.4) (OBF-binding protein 1)	DOF3.4 OBP1 At3g50410 F11C1_250	Arabidopsis thaliana (Mouse-ear cress)	253	AT3G50410;
Q39099	reviewed	XTH4_ARATH	Xyloglucan endotransglucosylase/hydrolase protein 4 (At-XTH4) (XTH-4) (EC 2.4.1.207)	XTH4 EXGT-A1 EXT At2g06850 T9F8.4	Arabidopsis thaliana (Mouse-ear cress)	296	AT2G06850;
Q39123	reviewed	ATHB8_ARATH	Homeobox-leucine zipper protein ATHB-8 (HD-ZIP protein ATHB-8) (Homeodomain transcription factor ATHB-8)	ATHB-8 HB8 At4g32880 T16I18.90	Arabidopsis thaliana (Mouse-ear cress)	833	AT4G32880;
Q39183	reviewed	D6KL2_ARATH	Serine/threonine-protein kinase D6PKL2 (EC 2.7.11.1) (D6 protein kinase-like 2) (Serine/threonine-protein kinase AtPK5)	D6PKL2 PK5 At5g47750 MCA23.7	Arabidopsis thaliana (Mouse-ear cress)	586	AT5G47750;
Q39255	reviewed	SKP1A_ARATH	SKP1-like protein 1A (SKP1-like 1) (UFO-binding protein 1)	SKP1A ASK1 SKP1 UIP1 At1g75950 T4O12.17	Arabidopsis thaliana (Mouse-ear cress)	160	AT1G75950;
Q3EDG5	reviewed	TPST_ARATH	Protein-tyrosine sulfotransferase (EC 2.8.2.20) (Tyrosylprotein sulfotransferase)	TPST At1g08030 T6D22.29	Arabidopsis thaliana (Mouse-ear cress)	500	AT1G08030;
Q42381	reviewed	HLS1_ARATH	Probable N-acetyltransferase HLS1 (EC 2.3.1.-) (Protein CONSTITUTIVE PHOTOMORPHOGENIC 3) (Protein HOOKLESS 1) (Protein UNUSUAL SUGAR RESPONSE 2)	HLS1 COP3 UNS2 At4g37580 F19F18.70	Arabidopsis thaliana (Mouse-ear cress)	403	AT4G37580;
Q570C0	reviewed	TIR1_ARATH	Protein TRANSPORT INHIBITOR RESPONSE 1 (Weak ethylene-insensitive protein 1)	TIR1 FBL1 WEI1 At3g62980 T20O10.80	Arabidopsis thaliana (Mouse-ear cress)	594	AT3G62980;
Q5EAF2	reviewed	IP5PB_ARATH	Type IV inositol polyphosphate 5-phosphatase 11 (At5PTase11) (EC 3.1.3.36) (EC 3.1.3.86)	IP5P11 At1g47510 F16N3.22	Arabidopsis thaliana (Mouse-ear cress)	334	AT1G47510;
Q5HZ36	reviewed	GAT21_ARATH	GATA transcription factor 21 (Protein GATA, NITRATE-INDUCIBLE, CARBON-METABOLISM INVOLVED) (AtGNC)	GATA21 GNC At5g56860 MPI10.2	Arabidopsis thaliana (Mouse-ear cress)	398	AT5G56860;
Q5W7F2	reviewed	AGD3_ARATH	ADP-ribosylation factor GTPase-activating protein AGD3 (ARF GAP AGD3) (Protein ARF-GAP DOMAIN 3) (AtAGD3) (Protein FORKED 2) (Protein SCARFACE) (Protein VASCULAR NETWORK 3)	AGD3 FKD2 SFC VAN3 At5g13300 T31B5.120	Arabidopsis thaliana (Mouse-ear cress)	827	AT5G13300;
Q5YDB5	reviewed	CPL2_ARATH	RNA polymerase II C-terminal domain phosphatase-like 2 (FCP-like 2) (EC 3.1.3.16) (ASI1-immunoprecipitated protein 4) (Carboxyl-terminal phosphatase-like 2) (AtCPL2) (CTD phosphatase-like 2)	CPL2 AIPP4 At5g01270 F7J8.250	Arabidopsis thaliana (Mouse-ear cress)	770	AT5G01270;
Q5YGP7	reviewed	PLET2_ARATH	AP2-like ethylene-responsive transcription factor PLT2 (Protein AINTEGUMENTA-LIKE 4) (Protein PLETHORA 2)	PLT2 AIL4 At1g51190 F11M15.6	Arabidopsis thaliana (Mouse-ear cress)	568	AT1G51190;
Q5YGP8	reviewed	PLET1_ARATH	AP2-like ethylene-responsive transcription factor PLT1 (Protein AINTEGUMENTA-LIKE 3) (Protein PLETHORA 1)	PLT1 AIL3 At3g20840 MOE17.15	Arabidopsis thaliana (Mouse-ear cress)	574	AT3G20840;
Q64FQ2	reviewed	PID2_ARATH	Protein kinase PINOID 2 (EC 2.7.11.1) (Protein kinase AGC1-10)	PID2 AGC1-10 At2g26700 F18A8.7	Arabidopsis thaliana (Mouse-ear cress)	525	AT2G26700;
Q67XG0	reviewed	GLB3_ARATH	Two-on-two hemoglobin-3 (AtGLB3) (2-on-2 hemoglobin-3)	GLB3 At4g32690 F4D11.110	Arabidopsis thaliana (Mouse-ear cress)	175	AT4G32690;
Q6EJ98	reviewed	BT5_ARATH	BTB/POZ and TAZ domain-containing protein 5 (BTB and TAZ domain protein 5)	BT5 At4g37610 F19F18.100	Arabidopsis thaliana (Mouse-ear cress)	368	AT4G37610;
Q6IWA9	reviewed	CLE45_ARATH	CLAVATA3/ESR (CLE)-related protein 45 [Cleaved into: CLE45p]	CLE45 At1g69588 F24J1	Arabidopsis thaliana (Mouse-ear cress)	124	AT1G69588;
Q6NLQ8	reviewed	XB32_ARATH	E3 ubiquitin-protein ligase XBAT32 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT32) (Protein XB3 homolog 2) (RING-type E3 ubiquitin transferase XBAT32)	XBAT32 At5g57740 MRI1.10	Arabidopsis thaliana (Mouse-ear cress)	508	AT5G57740;
Q6NMD6	reviewed	ARGOS_ARATH	Protein AUXIN-REGULATED GENE INVOLVED IN ORGAN SIZE (AtARGOS)	ARGOS At3g59900 F24G16.170	Arabidopsis thaliana (Mouse-ear cress)	130	AT3G59900;
Q7DMA9	reviewed	PAS1_ARATH	Peptidyl-prolyl cis-trans isomerase PASTICCINO1 (EC 5.2.1.8) (70 kDa peptidyl-prolyl isomerase) (FK506-binding protein 72) (AtFKBP72) (Immunophilin FKBP72) (Peptidyl-prolyl cis-trans isomerase FKBP72) (PPIase FKBP72) (Rotamase)	PAS1 DEI1 FKBP70 FKBP72 At3g54010 F5K20.310	Arabidopsis thaliana (Mouse-ear cress)	635	AT3G54010;
Q7XJU0	reviewed	LHWL2_ARATH	Transcription factor bHLH157 (BHLH transcription factor epsilon) (bHLH epsilon) (Basic helix-loop-helix protein 157) (AtbHLH157) (bHLH 157) (LONESOME HIGHWAY-like protein 2) (bHLH transcription factor bHLH157)	BHLH157 At1g64625 F1N19	Arabidopsis thaliana (Mouse-ear cress)	527	AT1G64625;
