TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2168978	AT5G47470	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT7;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 7	biological_process;plasma membrane;transmembrane transporter activity;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;guard cell;petal;plant embryo;pollen;pollen tube cell;sepal,
Locus:2169414	AT5G07050	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT9;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 9	biological_process;plasma membrane;chloroplast;transmembrane transporter activity,
Locus:2173737	AT5G40210	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT42;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 42	plasma membrane;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2173752	AT5G40230	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT37;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 37	plasma membrane;transmembrane transporter activity;guard cell;hypocotyl;root;stem,
Locus:2173762	AT5G40240	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT40;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 40	plasma membrane;transmembrane transporter activity;guard cell,
Locus:2173189	AT5G13670	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT15;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 15	biological_process;plasma membrane;chloroplast;transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;collective leaf structure;flower;flower pedicel;petal;plant embryo;sepal,
Locus:2176065	AT5G64700	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT21;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 21	plasma membrane;extracellular region;transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;cotyledon;flower;guard cell;leaf apex;petal;plant embryo;root;sepal;stamen;stem,
Locus:2199327	AT1G68170	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT23;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 23	biological_process;plasma membrane;mitochondrion;transmembrane transporter activity;plant embryo cotyledonary stage;plant embryo globular stage;collective leaf structure;plant embryo;seed,
Locus:2200056	AT1G11450	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT27;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 27	plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;guard cell,
Locus:2200041	AT1G11460	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT26;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 26	plasma membrane;transmembrane transporter activity,
Locus:2201148	AT1G21890	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT19;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 19	plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;petal differentiation and expansion stage;flower;inflorescence meristem,
Locus:2200990	AT1G01070	protein_coding	Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.	UMAMIT28;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 28	seed development;plasma membrane;mitochondrion;plasma membrane;L-glutamine transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;pollen;root;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;vascular system,
Locus:2202745	AT1G60050	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT35;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 35	plasma membrane;transmembrane transporter activity,
Locus:2012255	AT1G09380	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT25;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 25	plasma membrane;transmembrane transporter activity;LP.08 eight leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;endosperm;flower;hypocotyl;leaf apex;petal;plant embryo;plant sperm cell;pollen;root;sepal;stamen;stem;vascular leaf,
Locus:2031144	AT1G43650	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT22;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 22	plasma membrane;chloroplast;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;petal differentiation and expansion stage;collective leaf structure;cotyledon;endosperm;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;root;stamen;stem;vascular leaf,
Locus:2032960	AT1G25270	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT24;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 24	biological_process;plasma membrane;extracellular region;transmembrane transporter activity,
Locus:2039792	AT2G39510	protein_coding	Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.	UMAMIT14;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 14	L-glutamate import across plasma membrane;seed development;plasma membrane;chloroplast;plasma membrane;L-glutamine transmembrane transporter activity;LP.04 four leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;collective leaf structure;cotyledon;flower;flower pedicel;hypocotyl;petal;plant embryo;pollen;root;seed;sepal;shoot apex;stamen;vascular leaf;vascular system,
Locus:2049837	AT2G37450	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT13;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 13	plasma membrane;chloroplast;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2049847	AT2G37460	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT12;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 12	plasma membrane;cytoplasm;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2058460	AT2G40900	protein_coding	Encodes a plasma membrane-localized amino acid transporter likely involved in amino acid export in the developing seed.	UMAMIT11;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 11	seed development;plasma membrane;extracellular region;plasma membrane;L-glutamine transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;vascular leaf senescent stage;cauline leaf;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;petal;pollen;root;sepal;shoot apex;stamen;stem;vascular leaf;vascular system,
Locus:2077162	AT3G45870	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT3;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 3	plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;guard cell;hypocotyl;inflorescence meristem;petal;plant sperm cell;pollen;pollen tube cell;root,
Locus:2091363	AT3G28050	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT41;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 41	plasma membrane;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2091338	AT3G28100	protein_coding	nodulin MtN21-like transporter family protein The mRNA is cell-to-cell mobile.	UMAMIT45;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 45	plasma membrane;mitochondrion;transmembrane transporter activity;guard cell;cell-to-cell mobile RNA,
Locus:2091383	AT3G28070	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT46;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 46	biological_process;plasma membrane;chloroplast;mitochondrion;transmembrane transporter activity;guard cell,
Locus:2091393	AT3G28080	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT47;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 47	biological_process;plasma membrane;chloroplast;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2091368	AT3G28130	protein_coding	Chloroplast localized glutamate transporter responsible for glutamate export from the chloroplast.Member of nodulin MtN21-like transporter family .	UMAMIT44;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 44	intracellular glutamate homeostasis;chloroplast;plasma membrane;chloroplast;mitochondrion;L-glutamate transmembrane transporter activity;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2092702	AT3G18200	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT4;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 4	biological_process;plasma membrane;chloroplast;transmembrane transporter activity;root,
Locus:2102028	AT3G53210	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT6;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 6	plasma membrane;chloroplast;extracellular region;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2102629	AT3G56620	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT10;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 10	plasma membrane;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2102881	AT3G30340	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT32;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 32	plasma membrane;transmembrane transporter activity;LP.04 four leaves visible stage;LP.08 eight leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;collective leaf structure;flower;flower pedicel;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:505006500	AT4G19185	protein_coding	nodulin MtN21-like transporter family protein	UMAMIT2;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 2	plasma membrane;Golgi apparatus;extracellular region;mitochondrion;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2194864	AT1G44800	protein_coding	Encodes Siliques Are Red 1 (SIAR1). Functions as a bidirectional amino acid transporter that is crucial for the amino acid homeostasis of siliques. Member of nodulin MtN21-like transporter family.	SIAR1;SILIQUES ARE RED 1;UMAMIT18;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 18	amino acid export across plasma membrane;amino acid import;amino acid transport;intracellular amino acid homeostasis;plasma membrane;mitochondrion;plasma membrane;L-amino acid efflux transmembrane transporter activity;amino acid transmembrane transporter activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;pericycle;petal;petiole;plant embryo;pollen;root;seed;seed chalaza;seed funicle;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;whole plant,
Locus:2005689	AT1G75500	protein_coding	An Arabidopsis thaliana homolog of Medicago truncatula NODULIN21 (MtN21). The gene encodes a plant-specific; predicted integral membrane protein and is a member of the Plant-Drug/Metabolite Exporter (P-DME) family (Transporter Classification number: TC 2.A.7.3) and the nodulin MtN21-like transporter family.	UMAMIT5;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 5;WAT1;Walls Are Thin 1	auxin export across the plasma membrane;plant-type secondary cell wall biogenesis;positive regulation of L-tryptophan metabolic process;positive regulation of auxin metabolic process;unidimensional cell growth;auxin export across the plasma membrane;plasma membrane;mitochondrion;plant-type vacuole;plant-type vacuole membrane;plasma membrane;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;whole plant;plant embryo;xylem fiber cell;xylem vessel member,
Locus:2020688	AT1G70260	protein_coding	Encodes an endoplasmic reticulum (ER)-localized nodulin MtN21-like transporter family protein that negatively regulates resistance against biotrophic pathogens but not the necrotrophic pathogen; B. cinerea, possibly by regulating ROS production, cell death and PR1 expression.	RESISTANCE TO PHYTOPHTHORA PARASITICA 1;RTP1;UMAMIT36;USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTERS 36	negative regulation of defense response to bacterium;negative regulation of defense response to oomycetes;regulation of defense response to fungus;plasma membrane;endoplasmic reticulum;transmembrane transporter activity;anther;cotyledon;guard cell;hypocotyl;root;rosette;stigma,
