TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2205719	AT1G27080	protein_coding	Encodes a protein with low-affinity nitrate transporter activity that is expressed in the vascular tissue of the funiculus and the silique. This plasma membrane-localized enzyme is predicted to have 12 transmembrane domains. Plants lacking NRT1.6 have reduced levels of nitrate in their seeds and have increased levels of early embryonic developmental defects and seed abortion.	ATNPF2.12;NITRATE TRANSPORTER 1.6;NPF2.12;NRT1.6;NRT1/ PTR FAMILY 2.12	cellular response to nitrogen levels;embryo development ending in seed dormancy;nitrate transmembrane transport;seed development;suspensor development;transmembrane transport;plasma membrane;plasma membrane;low-affinity nitrate transmembrane transporter activity;transmembrane transporter activity;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;fruit;fruit vascular system;funicle;inflorescence meristem;leaf lamina base;petal;plant embryo;pollen;root;seed;sepal;shoot apex;stem;vascular leaf,
Locus:2041125	AT2G02040	protein_coding	Encodes a di- and tri-peptide transporter that recognizes a variety of different amino acid combinations. Expression of the transcripts for this gene can be detected in the embryo through in situ hybridization. This protein does not have nitrate transporter activity based on oocyte transport assays. Enhances water uptake duringearly seed germination.	ARABIDOPSIS THALIANA PEPTIDE TRANSPORTER 2;ATNPF8.3;ATPTR2;ATPTR2-B;NITRATE TRANSPORTER 1;NPF8.3;NRT1/ PTR FAMILY 8.3;NTR1;PEPTIDE TRANSPORTER 2;PTR2;PTR2-B	dipeptide transport;peptide transport;tripeptide transport;transmembrane transport;plant-type vacuole membrane;Golgi apparatus;plant-type vacuole;plant-type vacuole membrane;vacuolar membrane;vacuole;high-affinity oligopeptide transmembrane transporter activity;peptide transmembrane transporter activity;transmembrane transporter activity;tripeptide transmembrane transporter activity;nitrate transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant callus;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:6532567110	AT4G24715	protein_coding	Gene structure was modified for Araport11. This is the new structure for NRT3.2	NITRATE TRANSPORTER 3.2;NRT3.2	biological_process;cellular_component;molecular_function,
Locus:2196739	AT1G69850	protein_coding	Encodes an inducible component of low-affinity nitrate uptake. mRNA found primarily in root hairs and the epidermis of roots.  It also acts as an ABA importer at the site of ABA biosynthesis and is important for the regulation of stomatal aperture in inflorescence stems.	ABA-IMPORTING TRANSPORTER 1;AIT1;ATNPF4.6;ATNRT1:2;NPF4.6;NRT1.2;NRT1/ PTR FAMILY 4.6;NRT1:2;NTL1;nitrate transporter 1:2	abscisic acid transport;regulation of stomatal movement;response to nematode;transmembrane transport;membrane;nucleus;plasma membrane;abscisic acid transmembrane transporter activity;protein binding;transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2222652	AT5G14570	protein_coding	Encodes ATNRT2.7; a nitrate transporter that controls nitrate content in seeds.  Expression is detected in reproductive organs and peaks in seeds.  Localized to the vacuolar membrane.	ATNRT2.7;NRT2.7;high affinity nitrate transporter 2.7	nitrate transmembrane transport;nucleus;plant-type vacuole membrane;nitrate transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2159280	AT5G60770	protein_coding	member of High affinity nitrate transporter family	ARABIDOPSIS THALIANA NITRATE TRANSPORTER 2.4;ATNRT2.4;NITRATE TRANSPORTER 2.4;NRT2.4	cellular response to nitrate;nitrate transmembrane transport;cellular response to nitrate;nitrate transmembrane transport;plasma membrane;plasma membrane;nitrate transmembrane transporter activity,
Locus:2159290	AT5G60780	protein_coding	member of High affinity nitrate transporter family	ARABIDOPSIS THALIANA NITRATE TRANSPORTER 2.3;ATNRT2.3;NITRATE TRANSPORTER 2.3;NRT2.3	cellular response to nitrate;nitrate transmembrane transport;plasma membrane;plasma membrane;nitrate transmembrane transporter activity;shoot apex;vascular leaf,
Locus:2008855	AT1G12110	protein_coding	Encodes NRT1.1 (CHL1); a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium. Affects flowering time via interaction with the FLC dependent flowering pathway to influence its target gene FT.	ARABIDOPSIS THALIANA NITRATE TRANSPORTER 1;ATNPF6.3;ATNRT1;B-1;CHL1;CHL1-1;CHLORINA 1;NITRATE TRANSPORTER 1;NITRATE TRANSPORTER 1.1;NPF6.3;NRT1;NRT1.1;NRT1/ PTR FAMILY 6.3	basipetal auxin transport;lateral root development;nitrate transmembrane transport;photoperiodism, flowering;response to nitrate;response to water deprivation;response to nitrate;transmembrane transport;membrane;plasma membrane;nitrate transmembrane transporter activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed dormant stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;lateral root primordium;lateral root tip;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;primary root tip;root;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;guard cell;lateral root,
Locus:2075909	AT3G45060	protein_coding	member of High affinity nitrate transporter family	ARABIDOPSIS THALIANA HIGH AFFINITY NITRATE TRANSPORTER 2.6;ATNRT2.6;HIGH AFFINITY NITRATE TRANSPORTER 2.6;NRT2.6	cellular response to nitrate;nitrate transmembrane transport;plasma membrane;nitrate transmembrane transporter activity;petal differentiation and expansion stage;flower;guard cell;root;sepal,
Locus:4515103394	AT4G14358	protein_coding	high affinity nitrate transporter;(source:Araport11)	N/A	biological_process;cellular_component;guard cell,
Locus:2170673	AT5G62720	protein_coding	Integral membrane HPP family protein. Putative nitrate transporter.	ATNITR2;1	nitrate transmembrane transport;chloroplast;chloroplast envelope;chloroplast inner membrane;nitrate transmembrane transporter activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,
Locus:2097945	AT3G47980	protein_coding	Integral membrane HPP family protein. Putative nitrate transporter.	ATNITR2;2	chloroplast;molecular_function;guard cell;root,
Locus:2042937	AT2G38100	protein_coding	Encodes a nitrate transporter that is involved in nitrogen accumulation in embryos.	NPF5.5	dipeptide transport;nitrate transmembrane transport;dipeptide transport;transmembrane transport;membrane;extracellular region;amino acid transmembrane transporter activity;dipeptide transmembrane transporter activity;transmembrane transporter activity;uracil transmembrane transporter activity;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;cotyledon;flower;flower pedicel;hypocotyl;plant embryo;plant sperm cell;root;sepal;shoot apex;shoot system;stem;vascular leaf,
Locus:2085647	AT3G45650	protein_coding	Encodes a nitrate efflux transporter NAXT1 (for NITRATE EXCRETION TRANSPORTER1).  Localized to the plasma membrane.  NAXT1 belongs to a subclass of seven NAXT members from the large NITRATE TRANSPORTER1/PEPTIDE TRANSPORTER family and is mainly expressed in the cortex of mature roots.	ATNPF2.7;NAXT1;NITRATE EXCRETION TRANSPORTER1;NPF2.7;NRT1/ PTR FAMILY 2.7	nitrate transmembrane transport;response to acidic pH;transmembrane transport;plasma membrane;nucleus;plasma membrane;nitrate efflux transmembrane transporter activity;transmembrane transporter activity;guard cell;root cortex,
